Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"Open Policy Containers: The What, Why, and How",Video,⚡️Enlightning,2/3/2024,,,https://www.youtube.com/watch?v=eYUmBeVCYxQ,
Keeping Your Secrets Secure with SOPS,Video,⚡️Enlightning,2/16/2024,,,https://www.youtube.com/watch?v=RAmbUFdBGXk,
Evolving Multi-tenant Kubernetes Log Collection with the Logging Operator,Video,⚡️Enlightning,5/23/2024,,,https://www.youtube.com/watch?v=CPh6GIhJ1JU,
An Introduction to Fluentd and Fluent Bit,Video,⚡️Enlightning,5/25/2024,,,https://www.youtube.com/watch?v=qhgQ0WD1i8c,
Exploring Distributed Tracing with Jaeger,Video,⚡️Enlightning,5/31/2024,,,https://www.youtube.com/watch?v=wsm_Tz1I5_8,
Observability 2.0: Not Just Another Buzzword,Video,⚡️Enlightning,6/7/2024,,,https://www.youtube.com/watch?v=dcVD6sNtAiI,
Micrometer Mastery: Unleash Advanced Observability in Your JVM Apps,Video,⚡️Enlightning,7/11/2024,,,https://www.youtube.com/watch?v=hWr_mo5uKPY,
Monitoring Kubernetes Clusters,Video,⚡️Enlightning,7/16/2024,,,https://www.youtube.com/watch?v=LRXU-cj6CDA,
Instant Observability: Exploring the Magic of Pixie,Video,⚡️Enlightning,7/19/2024,,,https://www.youtube.com/watch?v=WuqM7WCYj8o,
Make Your Own Kubernetes User Experience with Headlamp!,Video,⚡️Enlightning,7/20/2024,,,https://www.youtube.com/watch?v=hR-koOUsaMA,
Progressive Delivery for Kubernetes with Argo Rollouts!,Video,⚡️Enlightning,7/26/2024,,,https://www.youtube.com/watch?v=32Q8w1gL3NU,
Power Your Metrics with Prometheus,Video,⚡️Enlightning,7/27/2024,,,https://www.youtube.com/watch?v=gt085CrPRb8,
Scaling Your Metrics with Thanos,Video,⚡️Enlightning,8/2/2024,,,https://www.youtube.com/watch?v=1qvcVJiVx7M,
Recommended Practices for Logging with Grafana Loki,Video,⚡️Enlightning,8/3/2024,,,https://www.youtube.com/watch?v=zx7sRNpL9Ac,
Cortex: Horizontally Scalable Prometheus,Video,⚡️Enlightning,8/9/2024,,,https://www.youtube.com/watch?v=oMdblfpx3e0,
Make Your Life Easier with the Kubernetes Dashboard,Video,⚡️Enlightning,8/10/2024,,,https://www.youtube.com/watch?v=Dz0ZAQkpOHg,
Fearless Delivery with Flagger,Video,⚡️Enlightning,8/16/2024,,,https://www.youtube.com/watch?v=U6tG6n7XYFI,
Infrastructure by Design with Meshery,Video,⚡️Enlightning,8/17/2024,,,https://www.youtube.com/watch?v=DfTvlSwE8R4,
Open Standards in Observability with OpenTelemetry,Video,⚡️Enlightning,9/7/2024,,,https://www.youtube.com/watch?v=7SccIT9rAuY,
Service Mesh and Observability,Video,⚡️Enlightning,9/13/2024,,,https://www.youtube.com/watch?v=dTQkfLuZRXM,
Meet the New Kid in the Sandbox: Perses,Video,⚡️Enlightning,9/14/2024,,,https://www.youtube.com/watch?v=eG-E9DboFcM,
Just Right Resources with Goldilocks,Video,⚡️Enlightning,9/21/2024,,,https://www.youtube.com/watch?v=tp2qvU8y6sM,
The Clouds Can Be Green?! Measuring Power Usage with Kepler,Video,⚡️Enlightning,9/26/2024,,,https://www.youtube.com/watch?v=c0rIJlkrDQM,
Go Go Gadget! Inspektor Gadget and Observability,Video,⚡️Enlightning,10/5/2024,,,https://www.youtube.com/watch?v=Io6vqHitTzQ,
